SMILES_131,SMILES_442,SMILES_611,SMILES_909,SMILES_1235,SMILES_1759
"['s1cc2c(c1)cco2', 'c1cc2c(o1)ccs2']","['CC(c1ccc2c(c1)csc2)(C)C', 'COc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1OC', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1C', 'Cc1ccc2c(c1)csc2']"
"['c1cc2c(o1)ccs2', 's1cc2c(c1)nco2']","['COc1cc2cscc2cc1C', 'CC(c1ccc2c(c1)csc2)(C)C']","['CC(c1ccc2c(c1)csc2)(C)C', 'COc1ccc2c(c1)csc2']","['CC(c1ccc2c(c1)csc2)(C)C', 'COc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1OC', 'C=Cc1cc2cscc2cc1C']","['COc1cc2cscc2cc1C', 'CC(c1ccc2c(c1)csc2)(C)C']"
"['s1cc2c(c1)cco2', 's1cc2c(c1)nco2']","['C=Cc1cc2cscc2cc1C', 'CC(c1ccc2c(c1)csc2)(C)C']","['Cc1ccc2c(c1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['C=Cc1cc2cscc2cc1C', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'COc1cc2cscc2cc1C']","['Cc1ccc2c(c1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']"
"['COc1cc2cscc2cc1OC', 'c1cc2c(o1)ccs2']","['COc1cc2cscc2cc1C', 'COc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1OC', 'COc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1OC', 'COc1ccc2c(c1)csc2']","['C=Cc1cc2cscc2cc1C', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'C=Cc1cc2cscc2cc1C']"
"['COc1cc2cscc2cc1OC', 's1cc2c(c1)cco2']","['COc1cc2cscc2cc1C', 'C=Cc1cc2cscc2cc1C']","['s1cc2c(c1)ncs2', 'CC(c1ccc2c(c1)csc2)(C)C']","['C=Cc1ccc2c(c1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'Cc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1C', 'C=Cc1cc2cscc2cc1C']"
"['COc1cc2cscc2cc1OC', 's1cc2c(c1)nco2']","['s1cc2c(c1)ncs2', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1C', 'CC(c1ccc2c(c1)csc2)(C)C']","['C#Cc1scc2c1scn2', 'CC(c1ccc2c(c1)csc2)(C)C']","['CCc1cc2c(s1)c1c(c3c2cc(s3)CC)c2ccsc2c2c1cc(s2)C=C', 'CC(c1ccc2c(c1)csc2)(C)C']","['C=Cc1cc2cscc2cc1C', 'CC(c1ccc2c(c1)csc2)(C)C']"
"['c1cc2c(o1)ccs2', 'c1ccc2c(c1)csc2']","['Cc1ccc2c(c1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'Cc1ccc2c(c1)csc2']","['Oc1ccc(c2c1csc2)S', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1C', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1C', 'CCc1c2cc3ccsc3cc2c(c2c1cc1sccc1c2C=C)CC']"
"['s1cc2c(c1)cco2', 'c1ccc2c(c1)csc2']","['COc1cc2cscc2cc1C', 'Cc1ccc2c(c1)csc2']","['Cc1ccc2c(c1)csc2', 'COc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1C', 'CC(c1ccc2c(c1)csc2)(C)C']","['C=Cc1ccc(c2c1csc2C=C)C', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'Cc1ccc2c(c1)csc2']"
"['s1cc2c(c1)nco2', 'c1ccc2c(c1)csc2']","['C=Cc1ccc2c(c1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1C', 'COc1ccc2c(c1)csc2']","['C=Cc1cc2cscc2cc1C', 'COc1ccc2c(c1)csc2']","['Cc1ccc2c(c1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'COc1cc2cscc2cc1C']"
"['c1cc2c(o1)ccs2', 'c1cc2c(s1)c1c(C2)ccs1']","['Cc1ccc2c(c1)csc2', 'COc1ccc2c(c1)csc2']","['c1ccc2c(c1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['c1ccc2c(c1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['c1ccc2c(c1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['CCc1c2cc3ccsc3cc2c(c2c1cc1sccc1c2C=C)CC', 'Cc1ccc2c(c1)csc2']"
"['c1cc2c(o1)ccs2', 'c1cc2c(o1)cco2']","['Sc1cccc2c1csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['C=Cc1ccc2c(c1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['s1cc2c(c1)nco2', 'CC(c1ccc2c(c1)csc2)(C)C']","['CCc1cc2c(s1)c1c(c3c2cc(s3)CC)c2ccsc2c2c1cc(s2)C=C', 'COc1cc2cscc2cc1OC']","['CCc1c2cc3ccsc3cc2c(c2c1cc1sccc1c2C=C)CC', 'CC(c1ccc2c(c1)csc2)(C)C']"
"['s1cc2c(c1)cco2', 'c1cc2c(s1)c1c(C2)ccs1']","['C=Cc1cc2cscc2cc1C', 'COc1ccc2c(c1)csc2']","['CCSc1cc2cscc2cc1SCC', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'COc1cc2cscc2cc1C']","['COc1cc2cscc2cc1OC', 'C=Cc1cc2c(s1)c1c(C2)ccc2c1c1sccc1C2']","['COc1cc2cscc2cc1OC', 'CC(c1ccc2c(c1)csc2)(C)C']"
"['s1cc2c(c1)cco2', 'c1cc2c(o1)cco2']","['COc1cc2cscc2cc1C', 's1cc2c(c1)ncs2']","['CCc1nc2c(nc1CC)c1ccsc1c1c2ccs1', 'CC(c1ccc2c(c1)csc2)(C)C']","['Cc1ccc2c(c1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'C=Cc1occ(c1S)O']","['C=Cc1cc2cscc2cc1C', 'CCc1c2cc3ccsc3cc2c(c2c1cc1sccc1c2C=C)CC']"
"['s1cc2c(c1)cco2', 'c1cc2c(s1)c1c([nH]2)ccs1']","['COc1cc2cscc2cc1OC', 'CC(c1ccc2c(c1)csc2)(C)C']","['s1cc2c(c1)ncs2', 'COc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1OC', 'C=Cc1cc2cscc2cc1C']","['COc1cc2cscc2cc1OC', 'c1ccc2c(c1)csc2']","['C=Cc1cc2cscc2cc1C', 'Cc1ccc2c(c1)csc2']"
,"['C=Cc1cc2cscc2cc1C', 'C=Cc1ccc2c(c1)csc2']","['C=Cc1ccc2c(c1)csc2', 'COc1ccc2c(c1)csc2']","['COc1cscc1', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'COc1ccc2c(c1)csc2']","['Cc1cc2cscc2cc1C', 'COc1cc2cscc2cc1C']"
